,name,type,category,power,accuracy,pp,description,probability%
362,Hammer Arm,Fighting,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers user's Speed.</td>","<td class=""cell-num"">100</td>"
363,Happy Hour,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Doubles prize money from trainer battles.</td>","<td class=""cell-num"">—</td>"
364,Hard Press,Steel,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
365,Harden,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Raises user's Defense.</td>","<td class=""cell-num"">—</td>"
366,Haze,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Resets all stat changes.</td>","<td class=""cell-num"">—</td>"
367,Head Charge,Normal,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
368,Head Smash,Rock,Physical,"<td class=""cell-num"">150</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
369,Headbutt,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
370,Headlong Rush,Ground,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense.</td>","<td class=""cell-num"">—</td>"
371,Heal Bell,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Heals the user's party's status conditions.</td>","<td class=""cell-num"">—</td>"
372,Heal Block,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Prevents the opponent from restoring HP for 5 turns.</td>","<td class=""cell-num"">—</td>"
373,Heal Order,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User recovers half its max HP.</td>","<td class=""cell-num"">—</td>"
374,Heal Pulse,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Restores half the target's max HP.</td>","<td class=""cell-num"">—</td>"
375,Healing Wish,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user faints and the next Pokémon released is fully healed.</td>","<td class=""cell-num"">—</td>"
376,Heart Stamp,Psychic,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
377,Heart Swap,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Stat changes are swapped with the opponent.</td>","<td class=""cell-num"">—</td>"
378,Heat Crash,Fire,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The heavier the user, the stronger the attack.</td>","<td class=""cell-num"">—</td>"
379,Heat Wave,Fire,Special,"<td class=""cell-num"">95</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">10</td>"
380,Heavy Slam,Steel,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The heavier the user, the stronger the attack.</td>","<td class=""cell-num"">—</td>"
381,Helping Hand,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">In Double Battles, boosts the power of the partner's move.</td>","<td class=""cell-num"">—</td>"
382,Hex,Ghost,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Inflicts more damage if the target has a status condition.</td>","<td class=""cell-num"">—</td>"
383,Hidden Power,Normal,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Type and power depends on user's IVs.</td>","<td class=""cell-num"">—</td>"
384,High Horsepower,Ground,Physical,"<td class=""cell-num"">95</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user fiercely attacks the target using its entire body.</td>","<td class=""cell-num"">—</td>"
385,High Jump Kick,Fighting,Physical,"<td class=""cell-num"">130</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">If it misses, the user loses half their HP.</td>","<td class=""cell-num"">—</td>"
386,Hold Back,Normal,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Always leaves opponent with at least 1 HP.</td>","<td class=""cell-num"">—</td>"
387,Hold Hands,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Makes the user and an ally very happy.</td>","<td class=""cell-num"">—</td>"
388,Hone Claws,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Raises user's Attack and Accuracy.</td>","<td class=""cell-num"">—</td>"
389,Horn Attack,Normal,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
390,Horn Drill,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>","<td class=""cell-num"">—</td>"
391,Horn Leech,Grass,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
392,Howl,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Raises Attack of allies.</td>","<td class=""cell-num"">—</td>"
393,Hurricane,Flying,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">70</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May confuse opponent.</td>","<td class=""cell-num"">30</td>"
394,Hydro Cannon,Water,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
395,Hydro Pump,Water,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
396,Hydro Steam,Water,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Power increases in harsh sunlight.</td>","<td class=""cell-num"">—</td>"
397,Hydro Vortex,Water,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Water type Z-Move.</td>","<td class=""cell-num"">—</td>"
398,Hyper Beam,Normal,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
399,Hyper Drill,Normal,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Can strike through Protect/Detect.</td>","<td class=""cell-num"">—</td>"
400,Hyper Fang,Normal,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">10</td>"
401,Hyper Voice,Normal,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
402,Hyperspace Fury,Dark,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense. Can strike through Protect/Detect.</td>","<td class=""cell-num"">100</td>"
403,Hyperspace Hole,Psychic,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Can strike through Protect/Detect.</td>","<td class=""cell-num"">—</td>"
404,Hypnosis,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">60</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Puts opponent to sleep.</td>","<td class=""cell-num"">—</td>"
405,Ice Ball,Ice,Physical,"<td class=""cell-num"">30</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Doubles in power each turn for 5 turns.</td>","<td class=""cell-num"">—</td>"
406,Ice Beam,Ice,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May freeze opponent.</td>","<td class=""cell-num"">10</td>"
407,Ice Burn,Ice,Special,"<td class=""cell-num"">140</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Charges on first turn, attacks on second. May burn opponent.</td>","<td class=""cell-num"">30</td>"
408,Ice Fang,Ice,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching and/or freeze opponent.</td>","<td class=""cell-num"">10</td>"
409,Ice Hammer,Ice,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.</td>","<td class=""cell-num"">100</td>"
410,Ice Punch,Ice,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May freeze opponent.</td>","<td class=""cell-num"">10</td>"
411,Ice Shard,Ice,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
412,Ice Spinner,Ice,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Removes effects of Terrain.</td>","<td class=""cell-num"">—</td>"
413,Icicle Crash,Ice,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
414,Icicle Spear,Ice,Physical,"<td class=""cell-num"">25</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
415,Icy Wind,Ice,Special,"<td class=""cell-num"">55</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Speed.</td>","<td class=""cell-num"">100</td>"
416,Imprison,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Opponent is unable to use moves that the user also knows.</td>","<td class=""cell-num"">—</td>"
417,Incinerate,Fire,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Destroys the target's held berry.</td>","<td class=""cell-num"">—</td>"
418,Infernal Parade,Ghost,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Inflicts double damage if the target has a status condition.</td>","<td class=""cell-num"">—</td>"
419,Inferno,Fire,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">50</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Burns opponent.</td>","<td class=""cell-num"">100</td>"
420,Inferno Overdrive,Fire,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Fire type Z-Move.</td>","<td class=""cell-num"">—</td>"
421,Infestation,Bug,Special,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
422,Ingrain,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User restores HP each turn. User cannot escape/switch.</td>","<td class=""cell-num"">—</td>"
423,Instruct,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Allows an ally to use a move instead.</td>","<td class=""cell-num"">—</td>"
424,Ion Deluge,Electric,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">Changes Normal-type moves to Electric-type.</td>","<td class=""cell-num"">—</td>"
425,Iron Defense,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Sharply raises user's Defense.</td>","<td class=""cell-num"">—</td>"
426,Iron Head,Steel,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
427,Iron Tail,Steel,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May lower opponent's Defense.</td>","<td class=""cell-num"">30</td>"
428,Ivy Cudgel,Grass,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">High critical hit ratio. Type changes based on form.</td>","<td class=""cell-num"">—</td>"
429,Jaw Lock,Dark,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Prevents user and opponent from switching out.</td>","<td class=""cell-num"">—</td>"
430,Jet Punch,Water,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Always goes first.</td>","<td class=""cell-num"">—</td>"
